Year,Team,Medal,Count
1896,Australia,Gold,2
1896,United States,Silver,7
1896,United States,Bronze,2
1896,Switzerland,Silver,2
1896,Switzerland,Gold,1
1896,Hungary,Silver,1
1896,Hungary,Gold,2
1896,Hungary,Bronze,3
1896,Greece-1,Silver,2
1896,Greece,Silver,16
1896,Greece,Gold,10
1896,Greece,Bronze,18
1896,Great Britain/Germany,Gold,2
1896,Great Britain,Silver,3
1896,Great Britain,Gold,2
1896,United States,Gold,11
1896,Germany,Silver,5
1896,Australia/Great Britain,Bronze,2
1896,Austria,Bronze,2
1896,Austria,Gold,2
1896,Austria,Silver,1
1896,Great Britain,Bronze,2
1896,Denmark,Gold,1
1896,Denmark,Bronze,3
1896,Ethnikos Gymnastikos Syllogos,Bronze,2
1896,France,Bronze,2
1896,France,Gold,5
1896,France,Silver,4
1896,Germany,Bronze,2
1896,Germany,Gold,24
1896,Denmark,Silver,2
1900,Martha-1,Bronze,4
1900,Martha-1,Silver,4
1900,Mascotte,Silver,3
1900,Mignon-3,Bronze,1
1900,Minerva Amsterdam,Bronze,9
1900,Norway,Bronze,3
1900,Minerva Amsterdam,Silver,5
1900,Moseley Wanderers,Silver,15
1900,Netherlands,Bronze,6
1900,Nina Claire-2,Bronze,4
1900,Luxembourg,Gold,1
1900,Minerva Amsterdam,Gold,3
1900,Ludwigshafener Ruder Verein-1,Bronze,5
1900,India,Silver,2
1900,Lerina,Silver,3
1900,Lerina,Gold,3
1900,Laurea-1,Bronze,1
1900,Italy,Silver,2
1900,Italy,Gold,3
1900,Hungary,Silver,2
1900,Hungary,Gold,1
1900,Hungary,Bronze,2
1900,Gwendoline-2,Bronze,3
1900,Great Britain-2,Bronze,2
1900,Great Britain-1,Gold,2
1900,Norway,Silver,6
1900,Libellule de Paris,Bronze,7
1900,Olle,Gold,6
1900,Switzerland,Silver,1
1900,Pupilles de Neptune de Lille #2-1,Bronze,8
1900,Vesper Boat Club,Gold,9
1900,Upton Park FC,Gold,11
1900,Univ. of Brussels,Bronze,11
1900,United States/Great Britain,Bronze,2
1900,United States/France,Silver,2
1900,United States,Silver,14
1900,United States,Gold,18
1900,United States,Bronze,13
1900,Union des Socits Franais de Sports Athletiques,Silver,12
1900,Union des Socits Franais de Sports Athletiques,Gold,17
1900,USFSA,Silver,13
1900,Turquoise-1,Bronze,1
1900,Tritons Lillois-2,Silver,5
1900,Great Britain,Silver,6
1900,Switzerland,Gold,13
1900,Switzerland,Bronze,1
1900,Sweden,Bronze,1
1900,Spain,Gold,2
1900,Societ Nautique de la Marne-1,Silver,2
1900,Scotia,Gold,6
1900,Scamasaxe-3,Silver,2
1900,Scamasaxe-2,Bronze,2
1900,Sarcelle-3,Bronze,3
1900,Royal Club Nautique de Gand,Silver,9
1900,Rowing Club Castillon-3,Bronze,3
1900,Racing Club de France,Silver,11
1900,Quand-Mme-2,Silver,9
1900,"Osborne Swimming Club, Manchester",Gold,7
1900,Great Britain,Gold,9
1900,Pupilles de Neptune de Lille-1,Bronze,4
1900,Gitana-2,Silver,5
1900,Cercle de l'Aviron Roubaix-4,Gold,5
1900,Carabinier-15,Gold,1
1900,Canada,Gold,1
1900,Canada,Bronze,1
1900,Brynhild-2,Silver,1
1900,Brussels Swimming and Water Polo Club,Silver,10
1900,Bona Fide,Gold,3
1900,Bohemia/Great Britain,Bronze,2
1900,Bohemia,Silver,1
1900,Bohemia,Bronze,1
1900,Belgium-1,Gold,1
1900,Belgium,Gold,5
1900,Cicely-1,Gold,1
1900,Belgium,Bronze,4
1900,Baby-1,Gold,1
1900,Baby-1,Bronze,1
1900,"BLO Polo Club, Rugby",Silver,4
1900,Austria,Silver,3
1900,Austria,Bronze,3
1900,Australia,Gold,2
1900,Australia,Bronze,3
1900,Aschenbrodel,Silver,4
1900,Aschenbrodel,Gold,4
1900,Amateur Athletic Association,Gold,5
1900,A North American Team,Bronze,4
1900,Great Britain,Bronze,7
1900,"Bagatelle Polo Club, Paris",Bronze,4
1900,Club Nautique de Lyon-2,Silver,4
1900,Belgium,Silver,5
1900,Crabe II-4,Bronze,5
1900,Gitana-2,Bronze,5
1900,Crabe II-1,Silver,5
1900,Germany,Silver,1
1900,Germany,Gold,1
1900,"Germania Ruder Club, Hamburg-2",Gold,5
1900,Frimousse,Bronze,1
1900,Frankfurt Club,Silver,15
1900,France/Great Britain,Silver,2
1900,France-1,Silver,1
1900,France,Silver,27
1900,France,Gold,22
1900,France,Bronze,26
1900,Foxhunters Hurlingham,Gold,5
1900,Formosa,Bronze,1
1900,France-1,Bronze,3
1900,Cuba,Gold,1
1900,Femur-1,Gold,1
1900,Cuba,Silver,1
1900,Denmark,Bronze,2
1900,Denmark,Gold,1
1900,Denmark/Sweden,Gold,6
1900,Deutscher Schwimm Verband Berlin,Gold,4
1900,Denmark,Silver,3
1900,Esterel-1,Gold,2
1900,Fantlet-7,Gold,1
1900,Favorite Hammonia-3,Bronze,6
1900,Favorite-1,Silver,8
1900,Devon and Somerset Wanderers,Gold,12
1904,St. Louis Southwest Turnverein #2-3,Bronze,5
1904,Seawanhaka Boat Club-1,Gold,2
1904,St. Louis Southwest Turnverein #1-2,Silver,5
1904,New York Athletic Club,Gold,5
1904,St. Louis Amateur Athletic Association,Silver,12
1904,Ravenswood Boat Club-2,Silver,2
1904,New York Athletic Club #1-1,Gold,4
1904,"Philadelphia Turngemeinde, Philadelphia",Gold,6
1904,Norway,Gold,2
1904,"New York Turnverein, New York",Silver,6
1904,New York Athletic Club-1,Gold,7
1904,St. Rose-2,Bronze,12
1904,Potomac Archers,Gold,4
1904,Switzerland,Bronze,2
1904,Western Rowing Club-3,Bronze,6
1904,Toronto Argonauts,Silver,9
1904,Trans-Mississippi Golf Association-2,Silver,10
1904,United States,Bronze,66
1904,United States,Gold,65
1904,United States,Silver,68
1904,United States Golf Association-3,Bronze,10
1904,United States-1,Gold,2
1904,United States-2,Silver,2
1904,United States-3,Bronze,2
1904,United States-4,Bronze,2
1904,Vesper Boat Club,Gold,9
1904,Western Golf Association-1,Gold,10
1904,Mound City Rowing Club-2,Silver,4
1904,Winnipeg Shamrocks-1,Gold,12
1904,Switzerland,Gold,1
1904,Mohawk Indians-2,Bronze,12
1904,Galt Football Club,Gold,13
1904,Milwaukee Athletic Club-1,Gold,5
1904,Missouri Athletic Club-3,Bronze,11
1904,Atalanta Boat Club-1,Gold,2
1904,Atalanta Boat Club-2,Silver,2
1904,Australia,Bronze,1
1904,Australia,Silver,3
1904,Austria,Bronze,1
1904,Austria,Gold,1
1904,Austria,Silver,1
1904,Canada,Gold,2
1904,"Central Turnverein, Chicago",Bronze,6
1904,Century Boat Club-1,Gold,4
1904,Chicago Athletic Association,Silver,5
1904,Chicago Athletic Association-2,Silver,11
1904,Christian Brothers' College-1,Silver,11
1904,Boston Archers,Bronze,4
1904,Cincinnati Archers,Silver,4
1904,Independent Rowing Club-3,Bronze,2
1904,Cincinnati Archers,Gold,4
1904,Hungary,Silver,1
1904,Hungary,Gold,2
1904,Hungary,Bronze,1
1904,Greece,Bronze,1
1904,Great Britain,Silver,1
1904,Greece,Gold,1
1904,Germany,Silver,5
1904,Germany,Gold,4
1904,Germany,Bronze,6
1904,France,Silver,1
1904,Cuba,Gold,5
1904,Great Britain,Gold,1
1906,"Phalainis ton Thorichtou ""Hydra""-2",Bronze,7
1906,Netherlands,Silver,1
1906,Omas Helliniki P. S.,Silver,8
1906,Norway,Silver,5
1906,Norway,Gold,20
1906,Netherlands,Bronze,5
1906,Italy,Bronze,1
1906,"Marinai della nave da guerra ""Varese""",Bronze,17
1906,"Life boat naval ship ""Spetsai""-1",Silver,7
1906,"Large boat, Central Naval Prep School ""Poros""-1",Gold,17
1906,Italy,Silver,5
1906,Italy,Gold,3
1906,"Phalainis ton Thorichtou ""Hydra""-2",Silver,17
1906,"Marinai della nave da guerra ""Varese""",Gold,7
1906,Pistoja/Firenze,Bronze,9
1906,United States,Silver,6
1906,Smyrna,Silver,11
1906,Hungary,Silver,5
1906,United States,Gold,12
1906,United States,Bronze,6
1906,Thessalonki-1,Bronze,11
1906,Switzerland,Silver,3
1906,Switzerland,Gold,8
1906,Royal Club Nautique de Gand,Silver,3
1906,Switzerland,Bronze,1
1906,Sweden,Gold,2
1906,Sweden,Bronze,14
1906,Socit Nautique de la Basse Seine-1,Silver,5
1906,Socit Nautique de la Basse Seine-1,Bronze,3
1906,Socit Nautique de Bayonne-2,Bronze,5
1906,Socit Nautique de Bayonne-1,Bronze,3
1906,Sweden,Silver,5
1906,Hungary,Gold,5
1906,Great Britain,Silver,14
1906,Greece-2,Bronze,2
1906,Australia,Bronze,3
1906,Austria,Bronze,3
1906,Austria,Gold,3
1906,Austria,Silver,3
1906,Barion/Bari-2,Silver,3
1906,Belgium,Bronze,6
1906,Belgium,Gold,2
1906,Bohemia,Bronze,3
1906,Bucintoro Venezia,Gold,8
1906,Bucintoro Venezia-1,Gold,3
1906,Canada,Gold,1
1906,Canada,Silver,1
1906,Denmark,Bronze,1
1906,Denmark,Gold,14
1906,Denmark,Silver,19
1906,Belgium,Silver,1
1906,Finland,Gold,2
1906,Finland,Bronze,1
1906,Greece-1,Silver,4
1906,Greece,Silver,11
1906,Greece,Gold,7
1906,Greece,Bronze,10
1906,Great Britain,Gold,9
1906,Great Britain,Bronze,8
1906,Hungary,Bronze,3
1906,Germany,Silver,10
1906,Germany,Gold,14
1906,Germany,Bronze,6
1906,France,Silver,8
1906,France,Gold,20
1906,France,Bronze,17
1906,Finland,Silver,1
1908,Leander Club #1-1,Gold,2
1908,London City Police-1,Gold,8
1908,Liverpool Police Team-2,Silver,8
1908,Leander Club-2,Silver,4
1908,Leander Club-1,Gold,9
1908,Leander Club #2-2,Silver,2
1908,Magdalen College Boat Club-1,Gold,4
1908,K Division Metropolitan Police Team-3,Bronze,8
1908,Hungary,Bronze,6
1908,Italy,Gold,2
1908,Ireland-3,Silver,4
1908,Ireland-2,Silver,12
1908,Hurlingham-2,Silver,4
1908,Hungary,Silver,7
1908,Hungary,Gold,7
1908,Heroine,Gold,4
1908,Mouchette-2,Silver,10
1908,Italy,Silver,6
1908,Netherlands,Bronze,12
1908,United States,Gold,34
1908,Norway,Gold,7
1908,Wales-4,Bronze,11
1908,Vinga-1,Silver,5
1908,United States,Silver,16
1908,Hera-1,Gold,10
1908,United States,Bronze,15
1908,Toronto Argonauts,Bronze,9
1908,Sweden,Silver,13
1908,Sweden,Gold,48
1908,Norway,Bronze,3
1908,Sweden,Bronze,18
1908,South Africa,Gold,1
1908,Sorais-2,Bronze,5
1908,Scotland-3,Bronze,11
1908,Russia,Silver,2
1908,Russia,Gold,1
1908,Royal Club Nautique de Gand,Silver,9
1908,Roehampton-1,Gold,4
1908,Norway,Silver,32
1908,South Africa,Silver,1
1908,Gyrinus-1,Gold,6
1908,Zut,Silver,3
1908,Greece,Silver,3
1908,Cornwall,Silver,15
1908,Cobweb-1,Gold,5
1908,Canada,Silver,8
1908,Canada,Gold,14
1908,Canada,Bronze,15
1908,Camille,Gold,1
1908,Cambridge University Boat Club-2,Bronze,9
1908,Bohemia,Bronze,6
1908,Denmark,Bronze,3
1908,Berliner Ruderclub,Bronze,2
1908,Belgium,Gold,1
1908,Belgium,Bronze,8
1908,Austria,Bronze,1
1908,Australasia,Silver,2
1908,Australasia,Gold,15
1908,Australasia,Bronze,2
1908,Argonaut Rowing Club,Bronze,6
1908,Guyoni,Bronze,3
1908,Belgium,Silver,12
1908,Denmark,Silver,14
1908,Amstel Amsterdam,Bronze,4
1908,England-1,Gold,11
1908,Dormy-1,Gold,3
1908,Great Britain-3,Bronze,4
1908,Great Britain-2,Silver,6
1908,Great Britain-2,Bronze,8
1908,Great Britain-1,Silver,2
1908,Great Britain-1,Gold,12
1908,Great Britain,Silver,64
1908,Great Britain,Gold,69
1908,Great Britain,Bronze,34
1908,Greece,Bronze,1
1908,Germany,Gold,4
1908,Germany,Bronze,4
1908,France,Silver,5
1908,France,Gold,11
1908,France,Bronze,20
1908,Finland,Silver,1
1908,Finland,Gold,1
1908,Germany,Silver,11
1908,Finland,Bronze,28
1912,Norway,Silver,6
1912,Norway,Gold,25
1912,Norway,Bronze,24
1912,Nina,Silver,7
1912,"New College, Oxford-2",Silver,9
1912,Netherlands,Bronze,26
1912,Magda IX,Gold,10
1912,Leander Club-1,Gold,9
1912,Ludwigshafener Ruderverein,Gold,5
1912,Lucky Girl-1,Bronze,5
1912,Kristiania Roklub-1,Bronze,5
1912,Kitty-1,Gold,8
1912,Kerstin-1,Bronze,3
1912,Italy,Silver,1
1912,Italy,Gold,22
1912,Nurdug II,Silver,3
1912,Mac Miche,Gold,3
1912,Nykjbings paa Falster,Gold,5
1912,Sweden,Gold,95
1912,Polyteknisk Roklub-1,Bronze,5
1912,United States,Silver,25
1912,United States,Gold,46
1912,United States,Bronze,36
1912,Thames Rowing Club,Silver,5
1912,Taifun,Gold,5
1912,Switzerland,Gold,2
1912,Sweden-3,Bronze,2
1912,Sweden-2,Silver,2
1912,Sweden-1,Silver,2
1912,Sweden,Silver,38
1912,Sweden,Bronze,20
1912,South Africa,Silver,2
1912,South Africa,Gold,5
1912,Sans Atout-1,Silver,5
1912,Russia,Silver,5
1912,Russia,Bronze,2
1912,Roddklubben af 1912-1,Silver,5
1912,Ormsund Roklub-2,Bronze,5
1912,Italy,Bronze,2
1912,Hungary,Gold,10
1912,Hungary,Bronze,3
1912,England-1,Silver,12
1912,England,Silver,1
1912,Denmark,Silver,46
1912,Denmark,Bronze,28
1912,Canada,Silver,2
1912,Canada,Gold,3
1912,Berliner Ruderverein von 1876-2,Bronze,9
1912,Erna Signe,Silver,10
1912,Belgium,Silver,1
1912,Belgium,Bronze,11
1912,Austria,Silver,9
1912,Austria,Bronze,5
1912,Australasia,Silver,2
1912,Australasia,Gold,5
1912,Australasia,Bronze,3
1912,Hungary,Silver,17
1912,Belgium,Gold,7
1912,Finland,Bronze,10
1912,Canada,Bronze,3
1912,Finland,Silver,33
1912,Heatherbell,Bronze,7
1912,Finland,Gold,9
1912,Greece,Gold,1
1912,Greece,Bronze,1
1912,Great Britain-2,Gold,2
1912,Great Britain-2,Bronze,2
1912,Great Britain,Silver,35
1912,Great Britain,Gold,36
1912,Great Britain-1,Silver,2
1912,Germany,Silver,19
1912,Germany,Gold,6
1912,Germany,Bronze,14
1912,Gallia II,Bronze,7
1912,France,Silver,11
1912,France,Gold,7
1912,France,Bronze,5
1912,Great Britain,Bronze,57
1920,Norway,Bronze,24
1920,Marmi II-1,Silver,3
1920,New Zealand,Bronze,1
1920,Netherlands,Silver,8
1920,Netherlands,Gold,9
1920,Netherlands,Bronze,25
1920,Mosk II,Gold,7
1920,Lyn-2,Silver,5
1920,Irene,Gold,5
1920,Kullan,Gold,3
1920,Jo,Gold,3
1920,Japan,Silver,3
1920,Italy,Silver,9
1920,Italy,Gold,67
1920,Italy,Bronze,8
1920,Norway,Gold,14
1920,Luxembourg,Silver,1
1920,Norway,Silver,40
1920,United States,Silver,45
1920,Rose Pompon,Silver,3
1920,Heira II,Gold,9
1920,United States,Gold,111
1920,United States,Bronze,38
1920,Tan-Fe-Pah,Silver,3
1920,Switzerland,Silver,2
1920,Switzerland,Gold,6
1920,Switzerland,Bronze,21
1920,Sweden,Silver,34
1920,Sweden,Gold,45
1920,Sweden,Bronze,64
1920,Stella-2,Bronze,3
1920,Spain,Silver,23
1920,South Africa,Silver,12
1920,South Africa,Gold,3
1920,South Africa,Bronze,6
1920,Sildra-1,Gold,4
1920,Sif,Gold,4
1920,Oranje,Gold,3
1920,Greece,Silver,5
1920,Ancora,Gold,4
1920,Great Britain-2,Gold,2
1920,Czechoslovakia,Bronze,10
1920,Canada,Silver,3
1920,Canada,Gold,10
1920,Canada,Bronze,3
1920,Brazil,Silver,1
1920,Brazil,Gold,1
1920,Boreas-2,Silver,2
1920,Denmark,Bronze,1
1920,Belgium,Silver,62
1920,Belgium,Bronze,61
1920,Beatrijs III-1,Gold,3
1920,Australia,Silver,6
1920,Australia,Bronze,1
1920,Atlanta,Gold,9
1920,Antwerpia V,Bronze,5
1920,Great Britain-3,Silver,2
1920,Belgium,Gold,54
1920,Denmark,Gold,26
1920,Brazil,Bronze,5
1920,Edelweiss II-1,Gold,3
1920,Denmark,Silver,44
1920,Great Britain,Silver,40
1920,Great Britain,Gold,46
1920,Great Britain,Bronze,15
1920,France-3,Gold,2
1920,France-3,Bronze,2
1920,France,Silver,68
1920,France,Gold,11
1920,France,Bronze,55
1920,Great Britain-1,Bronze,2
1920,Finland,Silver,14
1920,Finland,Gold,21
1920,Finland,Bronze,17
1920,Estonia,Silver,2
1920,Estonia,Gold,1
1920,Elsie,Silver,4
1920,Eleda,Gold,7
1920,Fornebo,Silver,4
1924,Poland,Bronze,1
1924,Netherlands,Gold,8
1924,Netherlands,Silver,1
1924,Norway,Silver,5
1924,Norway,Bronze,3
1924,Norway,Gold,6
1924,Netherlands,Bronze,15
1924,New Zealand,Bronze,1
1924,Namoussa,Bronze,5
1924,Japan,Bronze,1
1924,Luxembourg,Silver,1
1924,Luxembourg,Gold,1
1924,Italy,Silver,5
1924,Italy,Gold,25
1924,Italy,Bronze,21
1924,Ireland,Silver,1
1924,Ireland,Bronze,1
1924,Monaco,Bronze,1
1924,Poland,Silver,4
1924,Yugoslavia,Gold,2
1924,Romania,Bronze,16
1924,Hungary,Silver,12
1924,Willem-Six,Bronze,3
1924,Uruguay,Gold,14
1924,United States-2,Silver,2
1924,United States-2,Gold,2
1924,United States-1,Gold,4
1924,United States,Silver,34
1924,United States,Gold,91
1924,Portugal,Bronze,4
1924,United States,Bronze,49
1924,Switzerland,Gold,14
1924,Switzerland,Bronze,21
1924,Sweden,Silver,22
1924,Sweden,Gold,7
1924,Sweden,Bronze,43
1924,South Africa,Silver,1
1924,South Africa,Gold,1
1924,South Africa,Bronze,1
1924,Switzerland,Silver,25
1924,Hungary,Bronze,8
1924,Hungary,Gold,2
1924,Argentina,Bronze,2
1924,Czechoslovakia,Silver,4
1924,Czechoslovakia,Gold,1
1924,Czechoslovakia,Bronze,5
1924,Canada,Silver,19
1924,Canada,Bronze,1
1924,Bonzo,Silver,3
1924,Belgium,Silver,30
1924,Belgium,Gold,3
1924,Belgium,Bronze,6
1924,Austria,Silver,3
1924,Austria,Bronze,1
1924,Australia,Silver,5
1924,Australia,Gold,3
1924,Australia,Bronze,2
1924,Argentina,Silver,3
1924,Argentina,Gold,5
1924,Haiti,Bronze,5
1924,Denmark,Bronze,3
1924,Denmark,Gold,2
1924,Bera,Gold,5
1924,Elisabeth V,Gold,3
1924,Denmark,Silver,6
1924,Great Britain-2,Silver,2
1924,Great Britain-1,Bronze,2
1924,Great Britain,Silver,23
1924,Great Britain,Gold,15
1924,Great Britain,Bronze,17
1924,France-2,Bronze,2
1924,France-1,Silver,2
1924,France,Silver,49
1924,Greece,Gold,1
1924,France,Bronze,15
1924,France,Gold,37
1924,Estonia,Bronze,4
1924,Estonia,Gold,1
1924,Estonia,Silver,1
1924,Emily,Silver,5
1924,Finland,Gold,24
1924,Finland,Silver,13
1924,Finland,Bronze,15
1928,Netherlands,Bronze,8
1928,Norway,Bronze,1
1928,Norna,Gold,4
1928,New Zealand,Gold,1
1928,Netherlands,Silver,23
1928,Norway,Silver,4
1928,Netherlands,Gold,20
1928,Luxembourg,Gold,1
1928,Italy,Silver,22
1928,Japan,Silver,6
1928,Japan,Gold,2
1928,Japan,Bronze,1
1928,Italy,Gold,24
1928,Italy,Bronze,26
1928,Ireland,Gold,1
1928,India,Gold,14
1928,Philippines,Bronze,1
1928,L'Aile VI,Gold,6
1928,Poland,Bronze,15
1928,Hungary,Silver,11
1928,Poland,Silver,3
1928,Yugoslavia,Gold,1
1928,Yugoslavia,Bronze,10
1928,Yugoslavia,Silver,1
1928,United States,Silver,24
1928,United States,Gold,47
1928,United States,Bronze,17
1928,Tutti V,Bronze,5
1928,Sylvia,Bronze,6
1928,Poland,Gold,2
1928,Switzerland,Silver,10
1928,Switzerland,Bronze,4
1928,Sweden,Silver,8
1928,Sweden,Gold,7
1928,Sweden,Bronze,16
1928,Spain,Gold,3
1928,South Africa,Gold,1
1928,South Africa,Bronze,5
1928,Portugal,Bronze,6
1928,Switzerland,Gold,16
1928,Hungary,Gold,10
1928,Uruguay,Gold,17
1928,Hi-Hi,Silver,4
1928,Czechoslovakia,Silver,12
1928,Czechoslovakia,Gold,2
1928,Czechoslovakia,Bronze,2
1928,Chile,Silver,1
1928,Canada,Silver,5
1928,Canada,Gold,7
1928,Canada,Bronze,21
1928,Belgium,Silver,1
1928,Belgium,Bronze,4
1928,Austria,Gold,3
1928,Austria,Bronze,2
1928,Australia,Silver,2
1928,Australia,Gold,1
1928,Australia,Bronze,1
1928,Argentina,Gold,3
1928,Argentina,Bronze,5
1928,Hollandia,Silver,6
1928,Denmark,Bronze,4
1928,Denmark,Gold,6
1928,Argentina,Silver,18
1928,Egypt,Bronze,1
1928,Denmark,Silver,1
1928,Haiti,Silver,1
1928,Great Britain,Silver,27
1928,Great Britain,Bronze,24
1928,Germany,Silver,15
1928,Germany,Gold,21
1928,Germany,Bronze,41
1928,France,Silver,24
1928,France,Gold,6
1928,Great Britain,Gold,7
1928,Finland,Silver,8
1928,Finland,Gold,8
1928,Finland,Bronze,9
1928,Estonia,Silver,1
1928,Estonia,Gold,2
1928,Estonia,Bronze,1
